[18:42:40.043] [INFO   ] thread bguspl.set.Main.main() starting.
[18:42:40.053] [SEVERE ] cannot read configuration file config.properties trying from resources.
[18:42:40.063] [SEVERE ] configuration file was loaded from resources directory.
[18:42:41.497] [INFO   ] thread dealer starting.
[18:42:41.498] [INFO   ] thread dealer starting.
[18:42:41.498] [INFO   ] thread 0  starting.
[18:42:41.498] [INFO   ] thread 1  starting.
[18:42:41.505] [SEVERE ] updating countdown to 59999
[18:42:41.507] [SEVERE ] updating countdown to 60000
[18:42:41.509] [SEVERE ] updating countdown to 60000
[18:42:41.510] [SEVERE ] updating countdown to 60000
[18:42:41.512] [SEVERE ] updating countdown to 60000
[18:42:41.514] [SEVERE ] updating countdown to 60000
[18:42:41.516] [SEVERE ] updating countdown to 60000
[18:42:41.518] [SEVERE ] updating countdown to 60000
[18:42:41.519] [SEVERE ] updating countdown to 60000
[18:42:41.521] [SEVERE ] updating countdown to 60000
[18:42:41.523] [SEVERE ] updating countdown to 60000
[18:42:41.524] [SEVERE ] updating countdown to 60000
[18:42:41.526] [SEVERE ] updating countdown to 60000
[18:42:41.528] [SEVERE ] updating countdown to 60000
[18:42:41.529] [SEVERE ] updating countdown to 60000
[18:42:41.530] [SEVERE ] updating countdown to 60000
[18:42:41.531] [SEVERE ] updating countdown to 60000
[18:42:41.531] [SEVERE ] updating countdown to 60000
[18:42:41.532] [SEVERE ] updating countdown to 60000
[18:42:41.533] [SEVERE ] updating countdown to 60000
[18:42:41.534] [SEVERE ] updating countdown to 60000
[18:42:41.534] [SEVERE ] updating countdown to 60000
[18:42:41.535] [SEVERE ] updating countdown to 60000
[18:42:41.535] [SEVERE ] updating countdown to 60000
[18:42:41.536] [SEVERE ] updating countdown to 60000
[18:42:41.537] [SEVERE ] updating countdown to 60000
[18:42:41.538] [SEVERE ] updating countdown to 60000
[18:42:41.539] [SEVERE ] updating countdown to 60000
[18:42:41.540] [SEVERE ] updating countdown to 60000
[18:42:41.541] [SEVERE ] updating countdown to 60000
[18:42:41.542] [SEVERE ] updating countdown to 60000
[18:42:41.542] [SEVERE ] updating countdown to 60000
[18:42:41.543] [SEVERE ] updating countdown to 60000
[18:42:41.544] [SEVERE ] updating countdown to 60000
[18:42:41.545] [SEVERE ] updating countdown to 60000
[18:42:41.546] [SEVERE ] updating countdown to 60000
[18:42:41.547] [SEVERE ] updating countdown to 60000
[18:42:41.547] [SEVERE ] updating countdown to 60000
[18:42:41.548] [SEVERE ] updating countdown to 60000
[18:42:41.549] [SEVERE ] updating countdown to 60000
[18:42:41.550] [SEVERE ] updating countdown to 60000
[18:42:41.551] [SEVERE ] updating countdown to 60000
[18:42:41.552] [SEVERE ] updating countdown to 60000
[18:42:41.553] [SEVERE ] updating countdown to 60000
[18:42:41.553] [SEVERE ] updating countdown to 60000
[18:42:41.554] [SEVERE ] updating countdown to 60000
[18:42:41.555] [SEVERE ] updating countdown to 60000
[18:42:41.555] [SEVERE ] updating countdown to 60000
[18:42:41.556] [SEVERE ] updating countdown to 60000
[18:42:41.557] [SEVERE ] updating countdown to 60000
[18:42:41.558] [SEVERE ] updating countdown to 60000
[18:42:41.559] [SEVERE ] updating countdown to 60000
[18:42:41.560] [SEVERE ] updating countdown to 60000
[18:42:41.561] [SEVERE ] updating countdown to 60000
[18:42:41.562] [SEVERE ] updating countdown to 60000
[18:42:41.562] [SEVERE ] updating countdown to 60000
[18:42:41.563] [SEVERE ] updating countdown to 60000
[18:42:41.564] [SEVERE ] updating countdown to 60000
[18:42:41.564] [SEVERE ] updating countdown to 60000
[18:42:41.565] [SEVERE ] updating countdown to 60000
[18:42:41.566] [SEVERE ] updating countdown to 60000
[18:42:41.566] [SEVERE ] updating countdown to 60000
[18:42:41.567] [SEVERE ] updating countdown to 60000
[18:42:41.568] [SEVERE ] updating countdown to 60000
[18:42:41.569] [SEVERE ] updating countdown to 60000
[18:42:41.569] [SEVERE ] updating countdown to 60000
[18:42:41.570] [SEVERE ] updating countdown to 60000
[18:42:41.572] [SEVERE ] updating countdown to 60000
[18:42:41.573] [SEVERE ] updating countdown to 60000
[18:42:41.574] [SEVERE ] updating countdown to 60000
[18:42:41.575] [SEVERE ] updating countdown to 60000
[18:42:41.576] [SEVERE ] updating countdown to 60000
[18:42:41.577] [SEVERE ] updating countdown to 60000
[18:42:41.577] [SEVERE ] updating countdown to 60000
[18:42:41.578] [SEVERE ] updating countdown to 60000
[18:42:41.579] [SEVERE ] updating countdown to 60000
[18:42:41.580] [SEVERE ] updating countdown to 60000
[18:42:41.580] [SEVERE ] updating countdown to 60000
[18:42:41.581] [SEVERE ] updating countdown to 60000
[18:42:41.582] [SEVERE ] updating countdown to 60000
[18:42:41.583] [SEVERE ] updating countdown to 60000
[18:42:41.584] [SEVERE ] updating countdown to 60000
[18:42:41.584] [SEVERE ] updating countdown to 60000
[18:42:41.585] [SEVERE ] updating countdown to 60000
[18:42:41.586] [SEVERE ] updating countdown to 60000
[18:42:41.587] [SEVERE ] updating countdown to 60000
[18:42:41.587] [SEVERE ] updating countdown to 60000
[18:42:41.588] [SEVERE ] updating countdown to 60000
[18:42:41.589] [SEVERE ] updating countdown to 60000
[18:42:41.591] [SEVERE ] updating countdown to 60000
[18:42:41.592] [SEVERE ] updating countdown to 60000
[18:42:41.593] [SEVERE ] updating countdown to 60000
[18:42:41.594] [SEVERE ] updating countdown to 60000
[18:42:41.595] [SEVERE ] updating countdown to 60000
[18:42:41.596] [SEVERE ] updating countdown to 60000
[18:42:41.597] [SEVERE ] updating countdown to 60000
[18:42:41.598] [SEVERE ] updating countdown to 60000
[18:42:41.601] [SEVERE ] updating countdown to 60000
[18:42:41.602] [SEVERE ] updating countdown to 60000
[18:42:41.604] [SEVERE ] updating countdown to 60000
[18:42:41.606] [SEVERE ] updating countdown to 60000
[18:42:41.607] [SEVERE ] updating countdown to 60000
[18:42:41.608] [SEVERE ] updating countdown to 60000
[18:42:41.609] [SEVERE ] updating countdown to 60000
[18:42:41.610] [SEVERE ] updating countdown to 60000
[18:42:41.611] [SEVERE ] updating countdown to 60000
[18:42:41.612] [SEVERE ] updating countdown to 60000
[18:42:41.614] [SEVERE ] updating countdown to 60000
[18:42:41.615] [SEVERE ] updating countdown to 60000
[18:42:41.616] [SEVERE ] updating countdown to 60000
[18:42:41.619] [SEVERE ] updating countdown to 60000
[18:42:41.621] [SEVERE ] updating countdown to 60000
[18:42:41.622] [SEVERE ] updating countdown to 60000
[18:42:41.624] [SEVERE ] updating countdown to 60000
[18:42:41.624] [SEVERE ] updating countdown to 60000
[18:42:41.626] [SEVERE ] updating countdown to 60000
[18:42:41.627] [SEVERE ] updating countdown to 60000
[18:42:41.629] [SEVERE ] updating countdown to 60000
[18:42:41.630] [SEVERE ] updating countdown to 60000
[18:42:41.633] [SEVERE ] updating countdown to 60000
[18:42:41.634] [SEVERE ] updating countdown to 60000
[18:42:41.635] [SEVERE ] updating countdown to 60000
[18:42:41.636] [SEVERE ] updating countdown to 60000
[18:42:41.637] [SEVERE ] updating countdown to 60000
[18:42:41.637] [SEVERE ] updating countdown to 60000
[18:42:41.638] [SEVERE ] updating countdown to 60000
[18:42:41.638] [SEVERE ] updating countdown to 60000
[18:42:41.639] [SEVERE ] updating countdown to 60000
[18:42:41.640] [SEVERE ] updating countdown to 60000
[18:42:41.643] [SEVERE ] updating countdown to 60000
[18:42:41.645] [SEVERE ] updating countdown to 60000
[18:42:41.646] [SEVERE ] updating countdown to 60000
[18:42:41.646] [SEVERE ] updating countdown to 60000
[18:42:41.647] [SEVERE ] updating countdown to 60000
[18:42:41.648] [SEVERE ] updating countdown to 60000
[18:42:41.648] [SEVERE ] updating countdown to 60000
[18:42:41.649] [SEVERE ] updating countdown to 60000
[18:42:41.650] [SEVERE ] updating countdown to 60000
[18:42:41.650] [SEVERE ] updating countdown to 60000
[18:42:41.651] [SEVERE ] updating countdown to 60000
[18:42:41.652] [SEVERE ] updating countdown to 60000
[18:42:41.653] [SEVERE ] updating countdown to 60000
[18:42:41.653] [SEVERE ] updating countdown to 60000
[18:42:41.654] [SEVERE ] updating countdown to 60000
[18:42:41.655] [SEVERE ] updating countdown to 60000
[18:42:41.656] [SEVERE ] updating countdown to 60000
[18:42:41.658] [SEVERE ] updating countdown to 60000
[18:42:41.660] [SEVERE ] updating countdown to 60000
[18:42:41.660] [SEVERE ] updating countdown to 60000
[18:42:41.661] [SEVERE ] updating countdown to 60000
