[13:35:41.533] [INFO   ] thread bguspl.set.Main.main() starting.
[13:35:41.545] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:35:41.555] [SEVERE ] configuration file was loaded from resources directory.
[13:35:42.819] [INFO   ] thread dealer starting.
[13:35:42.820] [INFO   ] thread dealer starting.
[13:35:42.822] [INFO   ] thread 0  starting.
[13:35:42.822] [INFO   ] thread 1  starting.
[13:35:42.832] [SEVERE ] updating countdown to 59999
[13:35:42.835] [SEVERE ] updating countdown to 59995
[13:35:42.836] [SEVERE ] updating countdown to 59994
[13:35:42.838] [SEVERE ] updating countdown to 59992
[13:35:42.851] [SEVERE ] updating countdown to 59979
[13:35:42.853] [SEVERE ] updating countdown to 59977
[13:35:42.854] [SEVERE ] updating countdown to 59976
[13:35:42.856] [SEVERE ] updating countdown to 59974
[13:35:42.858] [SEVERE ] updating countdown to 59972
[13:35:42.860] [SEVERE ] updating countdown to 59970
[13:35:42.864] [SEVERE ] updating countdown to 59967
[13:35:42.865] [SEVERE ] updating countdown to 59965
[13:35:42.867] [SEVERE ] updating countdown to 59963
[13:35:42.869] [SEVERE ] updating countdown to 59961
[13:35:42.870] [SEVERE ] updating countdown to 59960
[13:35:42.872] [SEVERE ] updating countdown to 59958
[13:35:42.873] [SEVERE ] updating countdown to 59957
[13:35:42.875] [SEVERE ] updating countdown to 59955
[13:35:42.878] [SEVERE ] updating countdown to 59952
[13:35:42.879] [SEVERE ] updating countdown to 59951
[13:35:42.881] [SEVERE ] updating countdown to 59949
[13:35:42.883] [SEVERE ] updating countdown to 59947
[13:35:42.884] [SEVERE ] updating countdown to 59946
[13:35:42.886] [SEVERE ] updating countdown to 59944
[13:35:42.888] [SEVERE ] updating countdown to 59942
[13:35:42.890] [SEVERE ] updating countdown to 59940
[13:35:42.892] [SEVERE ] updating countdown to 59938
[13:35:42.894] [SEVERE ] updating countdown to 59936
[13:35:42.896] [SEVERE ] updating countdown to 59934
[13:35:42.898] [SEVERE ] updating countdown to 59932
[13:35:42.900] [SEVERE ] updating countdown to 59931
[13:35:42.901] [SEVERE ] updating countdown to 59929
[13:35:42.903] [SEVERE ] updating countdown to 59927
[13:35:42.905] [SEVERE ] updating countdown to 59925
[13:35:42.906] [SEVERE ] updating countdown to 59924
[13:35:42.908] [SEVERE ] updating countdown to 59922
[13:35:42.910] [SEVERE ] updating countdown to 59920
[13:35:42.913] [SEVERE ] updating countdown to 59917
[13:35:42.914] [SEVERE ] updating countdown to 59916
[13:35:42.916] [SEVERE ] updating countdown to 59914
[13:35:42.918] [SEVERE ] updating countdown to 59912
[13:35:42.920] [SEVERE ] updating countdown to 59910
[13:35:42.921] [SEVERE ] updating countdown to 59909
[13:35:42.923] [SEVERE ] updating countdown to 59907
[13:35:42.925] [SEVERE ] updating countdown to 59905
[13:35:42.927] [SEVERE ] updating countdown to 59903
[13:35:42.929] [SEVERE ] updating countdown to 59901
[13:35:42.931] [SEVERE ] updating countdown to 59899
[13:35:42.933] [SEVERE ] updating countdown to 59897
[13:35:42.934] [SEVERE ] updating countdown to 59896
[13:35:42.936] [SEVERE ] updating countdown to 59894
[13:35:42.938] [SEVERE ] updating countdown to 59892
[13:35:42.940] [SEVERE ] updating countdown to 59890
[13:35:42.941] [SEVERE ] updating countdown to 59889
[13:35:42.944] [SEVERE ] updating countdown to 59886
[13:35:42.946] [SEVERE ] updating countdown to 59884
[13:35:42.947] [SEVERE ] updating countdown to 59883
[13:35:42.949] [SEVERE ] updating countdown to 59881
[13:35:42.951] [SEVERE ] updating countdown to 59879
[13:35:42.953] [SEVERE ] updating countdown to 59877
[13:35:42.955] [SEVERE ] updating countdown to 59875
[13:35:42.957] [SEVERE ] updating countdown to 59873
[13:35:42.958] [SEVERE ] updating countdown to 59872
[13:35:42.961] [SEVERE ] updating countdown to 59869
[13:35:42.962] [SEVERE ] updating countdown to 59868
[13:35:42.964] [SEVERE ] updating countdown to 59866
[13:35:42.966] [SEVERE ] updating countdown to 59864
[13:35:42.968] [SEVERE ] updating countdown to 59862
[13:35:42.969] [SEVERE ] updating countdown to 59861
[13:35:42.971] [SEVERE ] updating countdown to 59859
[13:35:42.973] [SEVERE ] updating countdown to 59857
[13:35:42.975] [SEVERE ] updating countdown to 59855
[13:35:42.977] [SEVERE ] updating countdown to 59853
[13:35:42.979] [SEVERE ] updating countdown to 59851
[13:35:42.981] [SEVERE ] updating countdown to 59849
[13:35:42.983] [SEVERE ] updating countdown to 59847
[13:35:42.985] [SEVERE ] updating countdown to 59845
[13:35:42.987] [SEVERE ] updating countdown to 59843
[13:35:42.989] [SEVERE ] updating countdown to 59841
[13:35:42.990] [SEVERE ] updating countdown to 59840
[13:35:42.992] [SEVERE ] updating countdown to 59838
[13:35:42.995] [SEVERE ] updating countdown to 59836
[13:35:42.996] [SEVERE ] updating countdown to 59834
[13:35:42.998] [SEVERE ] updating countdown to 59832
[13:35:43.000] [SEVERE ] updating countdown to 59830
[13:35:43.001] [SEVERE ] updating countdown to 59829
[13:35:43.003] [SEVERE ] updating countdown to 59827
[13:35:43.005] [SEVERE ] updating countdown to 59825
[13:35:43.006] [SEVERE ] updating countdown to 59824
