[13:07:14.347] [INFO   ] thread bguspl.set.Main.main() starting.
[13:07:14.359] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:07:14.367] [SEVERE ] configuration file was loaded from resources directory.
[13:07:15.622] [INFO   ] thread dealer starting.
[13:07:15.624] [INFO   ] thread dealer starting.
[13:07:15.626] [INFO   ] thread 0  starting.
[13:07:15.626] [INFO   ] thread 1  starting.
[13:07:15.634] [SEVERE ] updating countdown to 59998
[13:07:15.636] [SEVERE ] updating countdown to 59996
[13:07:15.638] [SEVERE ] updating countdown to 59994
[13:07:15.641] [SEVERE ] updating countdown to 59991
[13:07:15.654] [SEVERE ] updating countdown to 59978
[13:07:15.656] [SEVERE ] updating countdown to 59976
[13:07:15.658] [SEVERE ] updating countdown to 59974
[13:07:15.660] [SEVERE ] updating countdown to 59972
[13:07:15.662] [SEVERE ] updating countdown to 59971
[13:07:15.663] [SEVERE ] updating countdown to 59969
[13:07:15.665] [SEVERE ] updating countdown to 59967
[13:07:15.667] [SEVERE ] updating countdown to 59965
[13:07:15.668] [SEVERE ] updating countdown to 59964
[13:07:15.670] [SEVERE ] updating countdown to 59962
[13:07:15.671] [SEVERE ] updating countdown to 59961
[13:07:15.673] [SEVERE ] updating countdown to 59959
[13:07:15.675] [SEVERE ] updating countdown to 59958
[13:07:15.676] [SEVERE ] updating countdown to 59956
[13:07:15.678] [SEVERE ] updating countdown to 59954
[13:07:15.680] [SEVERE ] updating countdown to 59952
[13:07:15.682] [SEVERE ] updating countdown to 59950
[13:07:15.683] [SEVERE ] updating countdown to 59949
[13:07:15.685] [SEVERE ] updating countdown to 59947
[13:07:15.686] [SEVERE ] updating countdown to 59946
[13:07:15.688] [SEVERE ] updating countdown to 59944
[13:07:15.690] [SEVERE ] updating countdown to 59942
[13:07:15.691] [SEVERE ] updating countdown to 59941
[13:07:15.693] [SEVERE ] updating countdown to 59939
[13:07:15.694] [SEVERE ] updating countdown to 59938
[13:07:15.696] [SEVERE ] updating countdown to 59936
[13:07:15.697] [SEVERE ] updating countdown to 59935
[13:07:15.699] [SEVERE ] updating countdown to 59933
[13:07:15.700] [SEVERE ] updating countdown to 59932
[13:07:15.702] [SEVERE ] updating countdown to 59930
[13:07:15.703] [SEVERE ] updating countdown to 59929
[13:07:15.705] [SEVERE ] updating countdown to 59927
[13:07:15.707] [SEVERE ] updating countdown to 59925
[13:07:15.708] [SEVERE ] updating countdown to 59924
[13:07:15.710] [SEVERE ] updating countdown to 59922
[13:07:15.712] [SEVERE ] updating countdown to 59920
[13:07:15.713] [SEVERE ] updating countdown to 59919
