[12:44:30.586] [INFO   ] thread bguspl.set.Main.main() starting.
[12:44:30.595] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:44:30.601] [SEVERE ] configuration file was loaded from resources directory.
[12:44:31.914] [INFO   ] thread dealer starting.
[12:44:31.916] [INFO   ] thread dealer starting.
[12:44:31.919] [INFO   ] thread 0  starting.
[12:44:31.920] [INFO   ] thread 1  starting.
[12:44:31.924] [SEVERE ] updating countdown to 59999
[12:44:31.927] [SEVERE ] updating countdown to 59996
[12:44:31.931] [SEVERE ] updating countdown to 59992
[12:44:31.934] [SEVERE ] updating countdown to 59989
[12:44:31.936] [SEVERE ] updating countdown to 59987
[12:44:31.938] [SEVERE ] updating countdown to 59985
[12:44:31.940] [SEVERE ] updating countdown to 59984
[12:44:31.941] [SEVERE ] updating countdown to 59982
[12:44:31.944] [SEVERE ] updating countdown to 59980
[12:44:31.946] [SEVERE ] updating countdown to 59977
[12:44:31.948] [SEVERE ] updating countdown to 59976
[12:44:31.949] [SEVERE ] updating countdown to 59974
[12:44:31.951] [SEVERE ] updating countdown to 59972
[12:44:31.952] [SEVERE ] updating countdown to 59971
[12:44:31.954] [SEVERE ] updating countdown to 59969
[12:44:31.956] [SEVERE ] updating countdown to 59967
[12:44:31.958] [SEVERE ] updating countdown to 59965
[12:44:31.961] [SEVERE ] updating countdown to 59962
[12:44:31.963] [SEVERE ] updating countdown to 59960
[12:44:31.965] [SEVERE ] updating countdown to 59958
[12:44:31.967] [SEVERE ] updating countdown to 59956
[12:44:31.968] [SEVERE ] updating countdown to 59955
[12:44:31.970] [SEVERE ] updating countdown to 59953
[12:44:31.972] [SEVERE ] updating countdown to 59952
[12:44:31.973] [SEVERE ] updating countdown to 59950
[12:44:31.975] [SEVERE ] updating countdown to 59948
[12:44:31.977] [SEVERE ] updating countdown to 59946
[12:44:31.979] [SEVERE ] updating countdown to 59944
[12:44:31.980] [SEVERE ] updating countdown to 59943
[12:44:31.982] [SEVERE ] updating countdown to 59941
[12:44:31.983] [SEVERE ] updating countdown to 59940
[12:44:31.985] [SEVERE ] updating countdown to 59938
[12:44:31.987] [SEVERE ] updating countdown to 59936
[12:44:31.989] [SEVERE ] updating countdown to 59934
[12:44:31.990] [SEVERE ] updating countdown to 59933
[12:44:31.992] [SEVERE ] updating countdown to 59931
[12:44:31.994] [SEVERE ] updating countdown to 59929
[12:44:31.997] [SEVERE ] updating countdown to 59926
[12:44:31.999] [SEVERE ] updating countdown to 59924
[12:44:32.001] [SEVERE ] updating countdown to 59922
[12:44:32.003] [SEVERE ] updating countdown to 59920
[12:44:32.005] [SEVERE ] updating countdown to 59918
[12:44:32.007] [SEVERE ] updating countdown to 59917
[12:44:32.008] [SEVERE ] updating countdown to 59915
[12:44:32.010] [SEVERE ] updating countdown to 59913
[12:44:32.012] [SEVERE ] updating countdown to 59911
[12:44:32.014] [SEVERE ] updating countdown to 59909
[12:44:32.016] [SEVERE ] updating countdown to 59907
[12:44:32.018] [SEVERE ] updating countdown to 59905
[12:44:32.019] [SEVERE ] updating countdown to 59904
[12:44:32.021] [SEVERE ] updating countdown to 59902
[12:44:32.023] [SEVERE ] updating countdown to 59900
[12:44:32.025] [SEVERE ] updating countdown to 59898
[12:44:32.027] [SEVERE ] updating countdown to 59896
[12:44:32.029] [SEVERE ] updating countdown to 59894
[12:44:32.031] [SEVERE ] updating countdown to 59892
[12:44:32.033] [SEVERE ] updating countdown to 59890
[12:44:32.035] [SEVERE ] updating countdown to 59888
[12:44:32.037] [SEVERE ] updating countdown to 59886
[12:44:32.039] [SEVERE ] updating countdown to 59884
[12:44:32.041] [SEVERE ] updating countdown to 59882
[12:44:32.044] [SEVERE ] updating countdown to 59880
[12:44:32.046] [SEVERE ] updating countdown to 59877
[12:44:32.048] [SEVERE ] updating countdown to 59875
[12:44:32.050] [SEVERE ] updating countdown to 59873
[12:44:32.052] [SEVERE ] updating countdown to 59871
[12:44:32.054] [SEVERE ] updating countdown to 59869
[12:44:32.056] [SEVERE ] updating countdown to 59867
[12:44:32.058] [SEVERE ] updating countdown to 59865
[12:44:32.060] [SEVERE ] updating countdown to 59863
[12:44:32.063] [SEVERE ] updating countdown to 59860
[12:44:32.065] [SEVERE ] updating countdown to 59858
[12:44:32.066] [SEVERE ] updating countdown to 59857
[12:44:32.068] [SEVERE ] updating countdown to 59855
[12:44:32.070] [SEVERE ] updating countdown to 59853
[12:44:32.072] [SEVERE ] updating countdown to 59851
[12:44:32.074] [SEVERE ] updating countdown to 59849
[12:44:32.076] [SEVERE ] updating countdown to 59847
[12:44:32.079] [SEVERE ] updating countdown to 59844
[12:44:32.081] [SEVERE ] updating countdown to 59842
[12:44:32.083] [SEVERE ] updating countdown to 59840
[12:44:32.085] [SEVERE ] updating countdown to 59838
[12:44:32.087] [SEVERE ] updating countdown to 59836
[12:44:32.089] [SEVERE ] updating countdown to 59834
[12:44:32.091] [SEVERE ] updating countdown to 59832
[12:44:32.092] [SEVERE ] updating countdown to 59831
[12:44:32.095] [SEVERE ] updating countdown to 59828
[12:44:32.097] [SEVERE ] updating countdown to 59826
[12:44:32.099] [SEVERE ] updating countdown to 59824
[12:44:32.101] [SEVERE ] updating countdown to 59822
[12:44:32.103] [SEVERE ] updating countdown to 59820
[12:44:32.105] [SEVERE ] updating countdown to 59818
[12:44:32.106] [SEVERE ] updating countdown to 59817
[12:44:32.108] [SEVERE ] updating countdown to 59815
[12:44:32.111] [SEVERE ] updating countdown to 59812
[12:44:32.113] [SEVERE ] updating countdown to 59810
[12:44:32.115] [SEVERE ] updating countdown to 59808
[12:44:32.117] [SEVERE ] updating countdown to 59806
[12:44:32.118] [SEVERE ] updating countdown to 59805
[12:44:32.120] [SEVERE ] updating countdown to 59803
[12:44:32.122] [SEVERE ] updating countdown to 59801
[12:44:32.124] [SEVERE ] updating countdown to 59799
[12:44:32.126] [SEVERE ] updating countdown to 59797
[12:44:32.129] [SEVERE ] updating countdown to 59794
[12:44:32.130] [SEVERE ] updating countdown to 59793
[12:44:32.132] [SEVERE ] updating countdown to 59791
[12:44:32.134] [SEVERE ] updating countdown to 59789
[12:44:32.136] [SEVERE ] updating countdown to 59787
[12:44:32.138] [SEVERE ] updating countdown to 59785
[12:44:32.139] [SEVERE ] updating countdown to 59784
[12:44:32.141] [SEVERE ] updating countdown to 59782
[12:44:32.143] [SEVERE ] updating countdown to 59780
[12:44:32.145] [SEVERE ] updating countdown to 59778
[12:44:32.147] [SEVERE ] updating countdown to 59776
[12:44:32.149] [SEVERE ] updating countdown to 59774
[12:44:32.151] [SEVERE ] updating countdown to 59772
[12:44:32.153] [SEVERE ] updating countdown to 59770
[12:44:32.155] [SEVERE ] updating countdown to 59768
[12:44:32.156] [SEVERE ] updating countdown to 59767
[12:44:32.158] [SEVERE ] updating countdown to 59765
[12:44:32.161] [SEVERE ] updating countdown to 59762
[12:44:32.163] [SEVERE ] updating countdown to 59760
[12:44:32.165] [SEVERE ] updating countdown to 59758
[12:44:32.167] [SEVERE ] updating countdown to 59756
[12:44:32.169] [SEVERE ] updating countdown to 59754
[12:44:32.170] [SEVERE ] updating countdown to 59753
[12:44:32.172] [SEVERE ] updating countdown to 59751
