[12:47:12.939] [INFO   ] thread bguspl.set.Main.main() starting.
[12:47:12.951] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:47:12.964] [SEVERE ] configuration file was loaded from resources directory.
[12:47:14.308] [INFO   ] thread dealer starting.
[12:47:14.313] [INFO   ] thread dealer starting.
[12:47:14.315] [INFO   ] thread 0  starting.
[12:47:14.315] [INFO   ] thread 1  starting.
[12:47:14.322] [SEVERE ] updating countdown to 59999
[12:47:14.329] [SEVERE ] updating countdown to 59992
[12:47:14.331] [SEVERE ] updating countdown to 59990
[12:47:14.334] [SEVERE ] updating countdown to 59987
[12:47:14.348] [SEVERE ] updating countdown to 59974
[12:47:14.350] [SEVERE ] updating countdown to 59971
[12:47:14.351] [SEVERE ] updating countdown to 59970
[12:47:14.353] [SEVERE ] updating countdown to 59968
[12:47:14.355] [SEVERE ] updating countdown to 59966
[12:47:14.357] [SEVERE ] updating countdown to 59964
[12:47:14.359] [SEVERE ] updating countdown to 59962
[12:47:14.362] [SEVERE ] updating countdown to 59959
[12:47:14.364] [SEVERE ] updating countdown to 59957
[12:47:14.366] [SEVERE ] updating countdown to 59955
[12:47:14.368] [SEVERE ] updating countdown to 59953
[12:47:14.370] [SEVERE ] updating countdown to 59951
[12:47:14.372] [SEVERE ] updating countdown to 59949
[12:47:14.374] [SEVERE ] updating countdown to 59947
[12:47:14.376] [SEVERE ] updating countdown to 59945
[12:47:14.378] [SEVERE ] updating countdown to 59943
[12:47:14.380] [SEVERE ] updating countdown to 59941
[12:47:14.382] [SEVERE ] updating countdown to 59939
[12:47:14.384] [SEVERE ] updating countdown to 59937
[12:47:14.386] [SEVERE ] updating countdown to 59935
[12:47:14.387] [SEVERE ] updating countdown to 59934
[12:47:14.389] [SEVERE ] updating countdown to 59932
[12:47:14.391] [SEVERE ] updating countdown to 59930
[12:47:14.392] [SEVERE ] updating countdown to 59929
[12:47:14.395] [SEVERE ] updating countdown to 59926
[12:47:14.397] [SEVERE ] updating countdown to 59924
[12:47:14.399] [SEVERE ] updating countdown to 59922
[12:47:14.401] [SEVERE ] updating countdown to 59920
[12:47:14.402] [SEVERE ] updating countdown to 59919
[12:47:14.404] [SEVERE ] updating countdown to 59917
[12:47:14.406] [SEVERE ] updating countdown to 59915
[12:47:14.408] [SEVERE ] updating countdown to 59913
[12:47:14.410] [SEVERE ] updating countdown to 59911
[12:47:14.412] [SEVERE ] updating countdown to 59909
[12:47:14.414] [SEVERE ] updating countdown to 59907
[12:47:14.416] [SEVERE ] updating countdown to 59905
[12:47:14.417] [SEVERE ] updating countdown to 59904
[12:47:14.419] [SEVERE ] updating countdown to 59902
[12:47:14.420] [SEVERE ] updating countdown to 59901
[12:47:14.422] [SEVERE ] updating countdown to 59899
[12:47:14.424] [SEVERE ] updating countdown to 59897
[12:47:14.426] [SEVERE ] updating countdown to 59895
[12:47:14.428] [SEVERE ] updating countdown to 59893
[12:47:14.430] [SEVERE ] updating countdown to 59891
[12:47:14.432] [SEVERE ] updating countdown to 59889
[12:47:14.434] [SEVERE ] updating countdown to 59887
[12:47:14.435] [SEVERE ] updating countdown to 59886
[12:47:14.437] [SEVERE ] updating countdown to 59884
[12:47:14.438] [SEVERE ] updating countdown to 59883
[12:47:14.440] [SEVERE ] updating countdown to 59881
[12:47:14.442] [SEVERE ] updating countdown to 59879
[12:47:14.444] [SEVERE ] updating countdown to 59877
[12:47:14.446] [SEVERE ] updating countdown to 59875
[12:47:14.448] [SEVERE ] updating countdown to 59873
[12:47:14.450] [SEVERE ] updating countdown to 59871
[12:47:14.452] [SEVERE ] updating countdown to 59869
[12:47:14.453] [SEVERE ] updating countdown to 59868
[12:47:14.455] [SEVERE ] updating countdown to 59866
[12:47:14.457] [SEVERE ] updating countdown to 59864
[12:47:14.458] [SEVERE ] updating countdown to 59863
[12:47:14.461] [SEVERE ] updating countdown to 59860
[12:47:14.463] [SEVERE ] updating countdown to 59858
[12:47:14.465] [SEVERE ] updating countdown to 59856
[12:47:14.467] [SEVERE ] updating countdown to 59854
[12:47:14.469] [SEVERE ] updating countdown to 59852
[12:47:14.470] [SEVERE ] updating countdown to 59851
[12:47:14.472] [SEVERE ] updating countdown to 59849
[12:47:14.474] [SEVERE ] updating countdown to 59847
[12:47:14.476] [SEVERE ] updating countdown to 59846
[12:47:14.478] [SEVERE ] updating countdown to 59843
[12:47:14.480] [SEVERE ] updating countdown to 59841
[12:47:14.482] [SEVERE ] updating countdown to 59839
[12:47:14.483] [SEVERE ] updating countdown to 59838
[12:47:14.485] [SEVERE ] updating countdown to 59836
[12:47:14.486] [SEVERE ] updating countdown to 59835
[12:47:14.488] [SEVERE ] updating countdown to 59833
[12:47:14.489] [SEVERE ] updating countdown to 59832
[12:47:14.491] [SEVERE ] updating countdown to 59830
[12:47:14.493] [SEVERE ] updating countdown to 59828
[12:47:14.494] [SEVERE ] updating countdown to 59827
[12:47:14.496] [SEVERE ] updating countdown to 59825
[12:47:14.498] [SEVERE ] updating countdown to 59823
[12:47:14.499] [SEVERE ] updating countdown to 59822
[12:47:14.501] [SEVERE ] updating countdown to 59820
[12:47:14.502] [SEVERE ] updating countdown to 59819
[12:47:14.504] [SEVERE ] updating countdown to 59817
[12:47:14.505] [SEVERE ] updating countdown to 59816
[12:47:14.507] [SEVERE ] updating countdown to 59814
[12:47:14.509] [SEVERE ] updating countdown to 59812
[12:47:14.511] [SEVERE ] updating countdown to 59810
[12:47:14.513] [SEVERE ] updating countdown to 59808
[12:47:14.515] [SEVERE ] updating countdown to 59806
[12:47:14.516] [SEVERE ] updating countdown to 59805
[12:47:14.518] [SEVERE ] updating countdown to 59803
[12:47:14.520] [SEVERE ] updating countdown to 59801
[12:47:14.521] [SEVERE ] updating countdown to 59800
[12:47:14.523] [SEVERE ] updating countdown to 59798
[12:47:14.525] [SEVERE ] updating countdown to 59796
[12:47:14.527] [SEVERE ] updating countdown to 59794
[12:47:14.529] [SEVERE ] updating countdown to 59792
[12:47:14.531] [SEVERE ] updating countdown to 59790
[12:47:14.533] [SEVERE ] updating countdown to 59788
[12:47:14.534] [SEVERE ] updating countdown to 59787
[12:47:14.536] [SEVERE ] updating countdown to 59785
[12:47:14.537] [SEVERE ] updating countdown to 59784
[12:47:14.539] [SEVERE ] updating countdown to 59782
[12:47:14.541] [SEVERE ] updating countdown to 59781
[12:47:14.542] [SEVERE ] updating countdown to 59779
[12:47:14.544] [SEVERE ] updating countdown to 59777
[12:47:14.546] [SEVERE ] updating countdown to 59775
[12:47:14.548] [SEVERE ] updating countdown to 59773
[12:47:14.550] [SEVERE ] updating countdown to 59771
[12:47:14.551] [SEVERE ] updating countdown to 59770
[12:47:14.553] [SEVERE ] updating countdown to 59768
