[13:33:48.186] [INFO   ] thread bguspl.set.Main.main() starting.
[13:33:48.199] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:33:48.206] [SEVERE ] configuration file was loaded from resources directory.
[13:33:49.369] [INFO   ] thread dealer starting.
[13:33:49.373] [INFO   ] thread dealer starting.
[13:33:49.376] [INFO   ] thread 0  starting.
[13:33:49.377] [INFO   ] thread 1  starting.
[13:33:49.385] [SEVERE ] updating countdown to 59999
[13:33:49.391] [SEVERE ] updating countdown to 60000
[13:33:49.399] [SEVERE ] updating countdown to 60000
[13:33:49.402] [SEVERE ] updating countdown to 60000
[13:33:49.403] [SEVERE ] updating countdown to 60000
[13:33:49.405] [SEVERE ] updating countdown to 60000
[13:33:49.407] [SEVERE ] updating countdown to 60000
[13:33:49.410] [SEVERE ] updating countdown to 60000
[13:33:49.411] [SEVERE ] updating countdown to 60000
[13:33:49.413] [SEVERE ] updating countdown to 60000
[13:33:49.415] [SEVERE ] updating countdown to 60000
[13:33:49.416] [SEVERE ] updating countdown to 60000
[13:33:49.418] [SEVERE ] updating countdown to 60000
[13:33:49.419] [SEVERE ] updating countdown to 60000
[13:33:49.420] [SEVERE ] updating countdown to 60000
[13:33:49.421] [SEVERE ] updating countdown to 60000
[13:33:49.422] [SEVERE ] updating countdown to 60000
[13:33:49.425] [SEVERE ] updating countdown to 60000
[13:33:49.427] [SEVERE ] updating countdown to 60000
[13:33:49.428] [SEVERE ] updating countdown to 60000
[13:33:49.429] [SEVERE ] updating countdown to 60000
[13:33:49.430] [SEVERE ] updating countdown to 60000
[13:33:49.431] [SEVERE ] updating countdown to 60000
[13:33:49.432] [SEVERE ] updating countdown to 60000
[13:33:49.433] [SEVERE ] updating countdown to 60000
[13:33:49.434] [SEVERE ] updating countdown to 60000
[13:33:49.435] [SEVERE ] updating countdown to 60000
[13:33:49.435] [SEVERE ] updating countdown to 60000
[13:33:49.436] [SEVERE ] updating countdown to 60000
[13:33:49.437] [SEVERE ] updating countdown to 60000
[13:33:49.437] [SEVERE ] updating countdown to 60000
[13:33:49.438] [SEVERE ] updating countdown to 60000
[13:33:49.439] [SEVERE ] updating countdown to 60000
[13:33:49.441] [SEVERE ] updating countdown to 60000
[13:33:49.442] [SEVERE ] updating countdown to 60000
[13:33:49.443] [SEVERE ] updating countdown to 60000
[13:33:49.444] [SEVERE ] updating countdown to 60000
[13:33:49.444] [SEVERE ] updating countdown to 60000
[13:33:49.445] [SEVERE ] updating countdown to 60000
[13:33:49.446] [SEVERE ] updating countdown to 60000
[13:33:49.446] [SEVERE ] updating countdown to 60000
[13:33:49.447] [SEVERE ] updating countdown to 60000
[13:33:49.447] [SEVERE ] updating countdown to 60000
[13:33:49.448] [SEVERE ] updating countdown to 60000
[13:33:49.449] [SEVERE ] updating countdown to 60000
[13:33:49.449] [SEVERE ] updating countdown to 60000
[13:33:49.450] [SEVERE ] updating countdown to 60000
[13:33:49.451] [SEVERE ] updating countdown to 60000
[13:33:49.451] [SEVERE ] updating countdown to 60000
[13:33:49.452] [SEVERE ] updating countdown to 60000
[13:33:49.453] [SEVERE ] updating countdown to 60000
[13:33:49.454] [SEVERE ] updating countdown to 60000
[13:33:49.455] [SEVERE ] updating countdown to 60000
[13:33:49.455] [SEVERE ] updating countdown to 60000
[13:33:49.457] [SEVERE ] updating countdown to 60000
[13:33:49.458] [SEVERE ] updating countdown to 60000
[13:33:49.459] [SEVERE ] updating countdown to 60000
[13:33:49.459] [SEVERE ] updating countdown to 60000
[13:33:49.460] [SEVERE ] updating countdown to 60000
[13:33:49.461] [SEVERE ] updating countdown to 60000
[13:33:49.462] [SEVERE ] updating countdown to 60000
[13:33:49.462] [SEVERE ] updating countdown to 60000
[13:33:49.463] [SEVERE ] updating countdown to 60000
[13:33:49.463] [SEVERE ] updating countdown to 60000
[13:33:49.464] [SEVERE ] updating countdown to 60000
[13:33:49.464] [SEVERE ] updating countdown to 60000
[13:33:49.465] [SEVERE ] updating countdown to 60000
[13:33:49.465] [SEVERE ] updating countdown to 60000
[13:33:49.466] [SEVERE ] updating countdown to 60000
[13:33:49.466] [SEVERE ] updating countdown to 60000
[13:33:49.467] [SEVERE ] updating countdown to 60000
[13:33:49.467] [SEVERE ] updating countdown to 60000
[13:33:49.468] [SEVERE ] updating countdown to 60000
[13:33:49.468] [SEVERE ] updating countdown to 60000
[13:33:49.469] [SEVERE ] updating countdown to 60000
[13:33:49.469] [SEVERE ] updating countdown to 60000
[13:33:49.470] [SEVERE ] updating countdown to 60000
[13:33:49.470] [SEVERE ] updating countdown to 60000
[13:33:49.470] [SEVERE ] updating countdown to 60000
[13:33:49.471] [SEVERE ] updating countdown to 60000
[13:33:49.471] [SEVERE ] updating countdown to 60000
[13:33:49.472] [SEVERE ] updating countdown to 60000
[13:33:49.472] [SEVERE ] updating countdown to 60000
[13:33:49.473] [SEVERE ] updating countdown to 60000
[13:33:49.474] [SEVERE ] updating countdown to 60000
[13:33:49.475] [SEVERE ] updating countdown to 60000
[13:33:49.475] [SEVERE ] updating countdown to 60000
[13:33:49.476] [SEVERE ] updating countdown to 60000
[13:33:49.476] [SEVERE ] updating countdown to 60000
[13:33:49.477] [SEVERE ] updating countdown to 60000
[13:33:49.477] [SEVERE ] updating countdown to 60000
[13:33:49.478] [SEVERE ] updating countdown to 60000
[13:33:49.478] [SEVERE ] updating countdown to 60000
[13:33:49.479] [SEVERE ] updating countdown to 60000
[13:33:49.479] [SEVERE ] updating countdown to 60000
[13:33:49.480] [SEVERE ] updating countdown to 60000
[13:33:49.480] [SEVERE ] updating countdown to 60000
[13:33:49.481] [SEVERE ] updating countdown to 60000
[13:33:49.481] [SEVERE ] updating countdown to 60000
[13:33:49.481] [SEVERE ] updating countdown to 60000
[13:33:49.482] [SEVERE ] updating countdown to 60000
[13:33:49.482] [SEVERE ] updating countdown to 60000
[13:33:49.482] [SEVERE ] updating countdown to 60000
[13:33:49.483] [SEVERE ] updating countdown to 60000
[13:33:49.483] [SEVERE ] updating countdown to 60000
[13:33:49.483] [SEVERE ] updating countdown to 60000
[13:33:49.484] [SEVERE ] updating countdown to 60000
[13:33:49.484] [SEVERE ] updating countdown to 60000
[13:33:49.484] [SEVERE ] updating countdown to 60000
[13:33:49.485] [SEVERE ] updating countdown to 60000
[13:33:49.485] [SEVERE ] updating countdown to 60000
[13:33:49.485] [SEVERE ] updating countdown to 60000
[13:33:49.486] [SEVERE ] updating countdown to 60000
[13:33:49.486] [SEVERE ] updating countdown to 60000
[13:33:49.487] [SEVERE ] updating countdown to 60000
[13:33:49.487] [SEVERE ] updating countdown to 60000
[13:33:49.487] [SEVERE ] updating countdown to 60000
[13:33:49.488] [SEVERE ] updating countdown to 60000
[13:33:49.488] [SEVERE ] updating countdown to 60000
[13:33:49.489] [SEVERE ] updating countdown to 60000
[13:33:49.490] [SEVERE ] updating countdown to 60000
[13:33:49.491] [SEVERE ] updating countdown to 60000
[13:33:49.492] [SEVERE ] updating countdown to 60000
[13:33:49.493] [SEVERE ] updating countdown to 60000
[13:33:49.493] [SEVERE ] updating countdown to 60000
[13:33:49.493] [SEVERE ] updating countdown to 60000
[13:33:49.494] [SEVERE ] updating countdown to 60000
[13:33:49.494] [SEVERE ] updating countdown to 60000
[13:33:49.494] [SEVERE ] updating countdown to 60000
[13:33:49.495] [SEVERE ] updating countdown to 60000
[13:33:49.495] [SEVERE ] updating countdown to 60000
[13:33:49.495] [SEVERE ] updating countdown to 60000
[13:33:49.496] [SEVERE ] updating countdown to 60000
[13:33:49.496] [SEVERE ] updating countdown to 60000
[13:33:49.496] [SEVERE ] updating countdown to 60000
[13:33:49.497] [SEVERE ] updating countdown to 60000
[13:33:49.497] [SEVERE ] updating countdown to 60000
[13:33:49.497] [SEVERE ] updating countdown to 60000
[13:33:49.497] [SEVERE ] updating countdown to 60000
[13:33:49.498] [SEVERE ] updating countdown to 60000
[13:33:49.498] [SEVERE ] updating countdown to 60000
[13:33:49.498] [SEVERE ] updating countdown to 60000
[13:33:49.499] [SEVERE ] updating countdown to 60000
[13:33:49.499] [SEVERE ] updating countdown to 60000
[13:33:49.499] [SEVERE ] updating countdown to 60000
[13:33:49.500] [SEVERE ] updating countdown to 60000
[13:33:49.500] [SEVERE ] updating countdown to 60000
[13:33:49.500] [SEVERE ] updating countdown to 60000
[13:33:49.501] [SEVERE ] updating countdown to 60000
[13:33:49.501] [SEVERE ] updating countdown to 60000
[13:33:49.501] [SEVERE ] updating countdown to 60000
[13:33:49.502] [SEVERE ] updating countdown to 60000
[13:33:49.502] [SEVERE ] updating countdown to 60000
[13:33:49.502] [SEVERE ] updating countdown to 60000
[13:33:49.503] [SEVERE ] updating countdown to 60000
[13:33:49.503] [SEVERE ] updating countdown to 60000
[13:33:49.503] [SEVERE ] updating countdown to 60000
[13:33:49.504] [SEVERE ] updating countdown to 60000
[13:33:49.504] [SEVERE ] updating countdown to 60000
[13:33:49.504] [SEVERE ] updating countdown to 60000
[13:33:49.505] [SEVERE ] updating countdown to 60000
[13:33:49.505] [SEVERE ] updating countdown to 60000
[13:33:49.506] [SEVERE ] updating countdown to 60000
[13:33:49.506] [SEVERE ] updating countdown to 60000
[13:33:49.507] [SEVERE ] updating countdown to 60000
[13:33:49.507] [SEVERE ] updating countdown to 60000
[13:33:49.508] [SEVERE ] updating countdown to 60000
[13:33:49.508] [SEVERE ] updating countdown to 60000
[13:33:49.509] [SEVERE ] updating countdown to 60000
[13:33:49.509] [SEVERE ] updating countdown to 60000
[13:33:49.509] [SEVERE ] updating countdown to 60000
[13:33:49.510] [SEVERE ] updating countdown to 60000
[13:33:49.510] [SEVERE ] updating countdown to 60000
[13:33:49.510] [SEVERE ] updating countdown to 60000
[13:33:49.511] [SEVERE ] updating countdown to 60000
[13:33:49.511] [SEVERE ] updating countdown to 60000
[13:33:49.511] [SEVERE ] updating countdown to 60000
[13:33:49.511] [SEVERE ] updating countdown to 60000
[13:33:49.512] [SEVERE ] updating countdown to 60000
[13:33:49.512] [SEVERE ] updating countdown to 60000
[13:33:49.512] [SEVERE ] updating countdown to 60000
[13:33:49.513] [SEVERE ] updating countdown to 60000
[13:33:49.513] [SEVERE ] updating countdown to 60000
[13:33:49.513] [SEVERE ] updating countdown to 60000
[13:33:49.516] [SEVERE ] updating countdown to 60000
