[17:01:01.423] [INFO   ] thread bguspl.set.Main.main() starting.
[17:01:01.435] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:01:01.444] [SEVERE ] configuration file was loaded from resources directory.
[17:01:03.015] [INFO   ] thread dealer starting.
[17:01:03.017] [INFO   ] thread dealer starting.
[17:01:03.019] [INFO   ] thread 0  starting.
[17:01:03.020] [INFO   ] thread 1  starting.
[17:01:03.029] [SEVERE ] updating countdown to 59999
[17:01:03.032] [SEVERE ] updating countdown to 59996
[17:01:03.035] [SEVERE ] updating countdown to 59993
[17:01:03.038] [SEVERE ] updating countdown to 59990
[17:01:03.040] [SEVERE ] updating countdown to 59988
[17:01:03.042] [SEVERE ] updating countdown to 59986
[17:01:03.044] [SEVERE ] updating countdown to 59984
[17:01:03.047] [SEVERE ] updating countdown to 59981
[17:01:03.049] [SEVERE ] updating countdown to 59979
[17:01:03.051] [SEVERE ] updating countdown to 59977
[17:01:03.058] [SEVERE ] updating countdown to 59970
[17:01:03.060] [SEVERE ] updating countdown to 59968
[17:01:03.062] [SEVERE ] updating countdown to 59966
[17:01:03.064] [SEVERE ] updating countdown to 59964
[17:01:03.065] [SEVERE ] updating countdown to 59963
[17:01:03.067] [SEVERE ] updating countdown to 59961
[17:01:03.073] [SEVERE ] updating countdown to 59955
[17:01:03.075] [SEVERE ] updating countdown to 59953
[17:01:03.077] [SEVERE ] updating countdown to 59951
[17:01:03.079] [SEVERE ] updating countdown to 59949
[17:01:03.081] [SEVERE ] updating countdown to 59947
[17:01:03.083] [SEVERE ] updating countdown to 59945
[17:01:03.088] [SEVERE ] updating countdown to 59940
[17:01:03.090] [SEVERE ] updating countdown to 59938
[17:01:03.092] [SEVERE ] updating countdown to 59936
[17:01:03.095] [SEVERE ] updating countdown to 59933
[17:01:03.097] [SEVERE ] updating countdown to 59931
[17:01:03.098] [SEVERE ] updating countdown to 59930
[17:01:03.100] [SEVERE ] updating countdown to 59928
[17:01:03.105] [SEVERE ] updating countdown to 59923
[17:01:03.107] [SEVERE ] updating countdown to 59921
[17:01:03.110] [SEVERE ] updating countdown to 59918
[17:01:03.111] [SEVERE ] updating countdown to 59917
[17:01:03.114] [SEVERE ] updating countdown to 59914
[17:01:03.116] [SEVERE ] updating countdown to 59912
[17:01:03.118] [SEVERE ] updating countdown to 59910
[17:01:03.121] [SEVERE ] updating countdown to 59907
[17:01:03.123] [SEVERE ] updating countdown to 59905
[17:01:03.125] [SEVERE ] updating countdown to 59903
[17:01:03.127] [SEVERE ] updating countdown to 59901
[17:01:03.129] [SEVERE ] updating countdown to 59899
[17:01:03.131] [SEVERE ] updating countdown to 59897
[17:01:03.133] [SEVERE ] updating countdown to 59895
[17:01:03.136] [SEVERE ] updating countdown to 59892
[17:01:03.138] [SEVERE ] updating countdown to 59890
[17:01:03.141] [SEVERE ] updating countdown to 59887
[17:01:03.143] [SEVERE ] updating countdown to 59885
[17:01:03.145] [SEVERE ] updating countdown to 59883
[17:01:03.148] [SEVERE ] updating countdown to 59880
[17:01:03.149] [SEVERE ] updating countdown to 59879
[17:01:03.155] [SEVERE ] updating countdown to 59873
[17:01:03.157] [SEVERE ] updating countdown to 59871
[17:01:03.159] [SEVERE ] updating countdown to 59869
[17:01:03.161] [SEVERE ] updating countdown to 59867
[17:01:03.163] [SEVERE ] updating countdown to 59865
[17:01:03.165] [SEVERE ] updating countdown to 59863
[17:01:03.170] [SEVERE ] updating countdown to 59858
