[17:25:09.080] [INFO   ] thread bguspl.set.Main.main() starting.
[17:25:09.089] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:25:09.096] [SEVERE ] configuration file was loaded from resources directory.
[17:25:10.425] [INFO   ] thread dealer starting.
[17:25:10.426] [INFO   ] thread dealer starting.
[17:25:10.426] [INFO   ] thread 0  starting.
[17:25:10.426] [INFO   ] thread 1  starting.
[17:25:10.431] [SEVERE ] updating countdown to 59999
[17:25:10.433] [SEVERE ] updating countdown to 59997
[17:25:10.435] [SEVERE ] updating countdown to 59995
[17:25:10.437] [SEVERE ] updating countdown to 59993
[17:25:10.439] [SEVERE ] updating countdown to 59991
[17:25:10.441] [SEVERE ] updating countdown to 59989
[17:25:10.443] [SEVERE ] updating countdown to 59987
[17:25:10.445] [SEVERE ] updating countdown to 59985
[17:25:10.447] [SEVERE ] updating countdown to 59983
[17:25:10.449] [SEVERE ] updating countdown to 59981
[17:25:10.451] [SEVERE ] updating countdown to 59979
[17:25:10.453] [SEVERE ] updating countdown to 59977
[17:25:10.455] [SEVERE ] updating countdown to 59975
[17:25:10.457] [SEVERE ] updating countdown to 59973
[17:25:10.459] [SEVERE ] updating countdown to 59971
[17:25:10.461] [SEVERE ] updating countdown to 59969
[17:25:10.462] [SEVERE ] updating countdown to 59968
[17:25:10.464] [SEVERE ] updating countdown to 59966
[17:25:10.466] [SEVERE ] updating countdown to 59964
[17:25:10.468] [SEVERE ] updating countdown to 59962
[17:25:10.469] [SEVERE ] updating countdown to 59961
[17:25:10.471] [SEVERE ] updating countdown to 59959
[17:25:10.473] [SEVERE ] updating countdown to 59957
[17:25:10.474] [SEVERE ] updating countdown to 59956
[17:25:10.476] [SEVERE ] updating countdown to 59954
[17:25:10.478] [SEVERE ] updating countdown to 59952
[17:25:10.480] [SEVERE ] updating countdown to 59950
[17:25:10.482] [SEVERE ] updating countdown to 59948
[17:25:10.484] [SEVERE ] updating countdown to 59946
[17:25:10.486] [SEVERE ] updating countdown to 59944
[17:25:10.487] [SEVERE ] updating countdown to 59943
[17:25:10.489] [SEVERE ] updating countdown to 59941
[17:25:10.491] [SEVERE ] updating countdown to 59939
[17:25:10.493] [SEVERE ] updating countdown to 59937
[17:25:10.495] [SEVERE ] updating countdown to 59935
[17:25:10.497] [SEVERE ] updating countdown to 59934
[17:25:10.498] [SEVERE ] updating countdown to 59932
[17:25:10.500] [SEVERE ] updating countdown to 59930
[17:25:10.502] [SEVERE ] updating countdown to 59928
[17:25:10.504] [SEVERE ] updating countdown to 59926
[17:25:10.506] [SEVERE ] updating countdown to 59925
[17:25:10.507] [SEVERE ] updating countdown to 59923
[17:25:10.509] [SEVERE ] updating countdown to 59921
[17:25:10.511] [SEVERE ] updating countdown to 59919
[17:25:10.513] [SEVERE ] updating countdown to 59917
[17:25:10.515] [SEVERE ] updating countdown to 59915
[17:25:10.517] [SEVERE ] updating countdown to 59913
[17:25:10.518] [SEVERE ] updating countdown to 59912
[17:25:10.520] [SEVERE ] updating countdown to 59910
[17:25:10.523] [SEVERE ] updating countdown to 59908
[17:25:10.525] [SEVERE ] updating countdown to 59905
[17:25:10.527] [SEVERE ] updating countdown to 59903
[17:25:10.528] [SEVERE ] updating countdown to 59902
[17:25:10.531] [SEVERE ] updating countdown to 59899
[17:25:10.532] [SEVERE ] updating countdown to 59898
[17:25:10.534] [SEVERE ] updating countdown to 59896
[17:25:10.536] [SEVERE ] updating countdown to 59894
[17:25:10.538] [SEVERE ] updating countdown to 59892
[17:25:10.540] [SEVERE ] updating countdown to 59890
[17:25:10.542] [SEVERE ] updating countdown to 59888
[17:25:10.544] [SEVERE ] updating countdown to 59886
[17:25:10.547] [SEVERE ] updating countdown to 59883
[17:25:10.549] [SEVERE ] updating countdown to 59881
[17:25:10.551] [SEVERE ] updating countdown to 59879
[17:25:10.554] [SEVERE ] updating countdown to 59877
[17:25:10.556] [SEVERE ] updating countdown to 59874
[17:25:10.558] [SEVERE ] updating countdown to 59872
[17:25:10.561] [SEVERE ] updating countdown to 59869
[17:25:10.563] [SEVERE ] updating countdown to 59867
[17:25:10.569] [SEVERE ] updating countdown to 59861
[17:25:10.572] [SEVERE ] updating countdown to 59858
[17:25:10.575] [SEVERE ] updating countdown to 59855
[17:25:10.578] [SEVERE ] updating countdown to 59852
[17:25:10.580] [SEVERE ] updating countdown to 59850
[17:25:10.584] [SEVERE ] updating countdown to 59847
[17:25:10.586] [SEVERE ] updating countdown to 59844
[17:25:10.589] [SEVERE ] updating countdown to 59841
[17:25:10.591] [SEVERE ] updating countdown to 59839
[17:25:10.594] [SEVERE ] updating countdown to 59836
[17:25:10.596] [SEVERE ] updating countdown to 59834
[17:25:10.599] [SEVERE ] updating countdown to 59831
[17:25:10.602] [SEVERE ] updating countdown to 59828
[17:25:10.604] [SEVERE ] updating countdown to 59826
[17:25:10.607] [SEVERE ] updating countdown to 59823
[17:25:10.610] [SEVERE ] updating countdown to 59821
[17:25:10.612] [SEVERE ] updating countdown to 59818
[17:25:10.614] [SEVERE ] updating countdown to 59816
[17:25:10.616] [SEVERE ] updating countdown to 59814
[17:25:10.618] [SEVERE ] updating countdown to 59812
[17:25:10.620] [SEVERE ] updating countdown to 59810
[17:25:10.622] [SEVERE ] updating countdown to 59808
[17:25:10.624] [SEVERE ] updating countdown to 59806
[17:25:10.626] [SEVERE ] updating countdown to 59804
[17:25:10.627] [SEVERE ] updating countdown to 59803
[17:25:10.629] [SEVERE ] updating countdown to 59801
[17:25:10.631] [SEVERE ] updating countdown to 59799
[17:25:10.632] [SEVERE ] updating countdown to 59798
[17:25:10.634] [SEVERE ] updating countdown to 59796
[17:25:10.636] [SEVERE ] updating countdown to 59794
[17:25:10.639] [SEVERE ] updating countdown to 59792
[17:25:10.640] [SEVERE ] updating countdown to 59790
[17:25:10.643] [SEVERE ] updating countdown to 59787
[17:25:10.645] [SEVERE ] updating countdown to 59785
[17:25:10.646] [SEVERE ] updating countdown to 59784
[17:25:10.648] [SEVERE ] updating countdown to 59782
[17:25:10.650] [SEVERE ] updating countdown to 59780
[17:25:10.651] [SEVERE ] updating countdown to 59779
[17:25:10.654] [SEVERE ] updating countdown to 59776
[17:25:10.656] [SEVERE ] updating countdown to 59774
[17:25:10.658] [SEVERE ] updating countdown to 59772
[17:25:10.660] [SEVERE ] updating countdown to 59770
[17:25:10.661] [SEVERE ] updating countdown to 59769
[17:25:10.663] [SEVERE ] updating countdown to 59767
[17:25:10.665] [SEVERE ] updating countdown to 59765
[17:25:10.667] [SEVERE ] updating countdown to 59763
[17:25:10.669] [SEVERE ] updating countdown to 59762
[17:25:10.670] [SEVERE ] updating countdown to 59760
[17:25:10.673] [SEVERE ] updating countdown to 59757
[17:25:10.675] [SEVERE ] updating countdown to 59755
[17:25:10.676] [SEVERE ] updating countdown to 59754
[17:25:10.678] [SEVERE ] updating countdown to 59752
[17:25:10.680] [SEVERE ] updating countdown to 59750
[17:25:10.682] [SEVERE ] updating countdown to 59748
[17:25:10.684] [SEVERE ] updating countdown to 59746
[17:25:10.686] [SEVERE ] updating countdown to 59744
[17:25:10.688] [SEVERE ] updating countdown to 59742
[17:25:10.690] [SEVERE ] updating countdown to 59740
[17:25:10.692] [SEVERE ] updating countdown to 59738
[17:25:10.694] [SEVERE ] updating countdown to 59736
[17:25:10.696] [SEVERE ] updating countdown to 59734
[17:25:10.698] [SEVERE ] updating countdown to 59732
[17:25:10.699] [SEVERE ] updating countdown to 59731
[17:25:10.701] [SEVERE ] updating countdown to 59729
[17:25:10.703] [SEVERE ] updating countdown to 59727
[17:25:10.705] [SEVERE ] updating countdown to 59725
[17:25:10.707] [SEVERE ] updating countdown to 59723
[17:25:10.709] [SEVERE ] updating countdown to 59721
[17:25:10.710] [SEVERE ] updating countdown to 59720
[17:25:10.712] [SEVERE ] updating countdown to 59718
[17:25:10.714] [SEVERE ] updating countdown to 59716
[17:25:10.716] [SEVERE ] updating countdown to 59714
[17:25:10.717] [SEVERE ] updating countdown to 59713
[17:25:10.719] [SEVERE ] updating countdown to 59711
[17:25:10.722] [SEVERE ] updating countdown to 59708
[17:25:10.724] [SEVERE ] updating countdown to 59706
[17:25:10.726] [SEVERE ] updating countdown to 59704
[17:25:10.728] [SEVERE ] updating countdown to 59703
[17:25:10.729] [SEVERE ] updating countdown to 59701
[17:25:10.731] [SEVERE ] updating countdown to 59699
[17:25:10.732] [SEVERE ] updating countdown to 59698
[17:25:10.734] [SEVERE ] updating countdown to 59696
[17:25:10.736] [SEVERE ] updating countdown to 59694
[17:25:10.738] [SEVERE ] updating countdown to 59692
[17:25:10.741] [SEVERE ] updating countdown to 59689
[17:25:10.743] [SEVERE ] updating countdown to 59687
[17:25:10.744] [SEVERE ] updating countdown to 59686
[17:25:10.746] [SEVERE ] updating countdown to 59684
[17:25:10.748] [SEVERE ] updating countdown to 59682
[17:25:10.749] [SEVERE ] updating countdown to 59681
[17:25:10.751] [SEVERE ] updating countdown to 59679
[17:25:10.753] [SEVERE ] updating countdown to 59677
[17:25:10.755] [SEVERE ] updating countdown to 59675
[17:25:10.757] [SEVERE ] updating countdown to 59673
[17:25:10.758] [SEVERE ] updating countdown to 59672
[17:25:10.760] [SEVERE ] updating countdown to 59670
[17:25:10.761] [SEVERE ] updating countdown to 59669
[17:25:10.763] [SEVERE ] updating countdown to 59667
[17:25:10.764] [SEVERE ] updating countdown to 59666
[17:25:10.766] [SEVERE ] updating countdown to 59664
[17:25:10.767] [SEVERE ] updating countdown to 59663
[17:25:10.769] [SEVERE ] updating countdown to 59661
[17:25:10.771] [SEVERE ] updating countdown to 59659
[17:25:10.773] [SEVERE ] updating countdown to 59657
[17:25:10.775] [SEVERE ] updating countdown to 59655
[17:25:10.776] [SEVERE ] updating countdown to 59654
[17:25:10.778] [SEVERE ] updating countdown to 59652
[17:25:10.779] [SEVERE ] updating countdown to 59651
[17:25:10.781] [SEVERE ] updating countdown to 59649
[17:25:10.782] [SEVERE ] updating countdown to 59648
[17:25:10.784] [SEVERE ] updating countdown to 59646
[17:25:10.786] [SEVERE ] updating countdown to 59644
[17:25:10.788] [SEVERE ] updating countdown to 59642
[17:25:10.790] [SEVERE ] updating countdown to 59640
[17:25:10.792] [SEVERE ] updating countdown to 59638
[17:25:10.794] [SEVERE ] updating countdown to 59636
[17:25:10.795] [SEVERE ] updating countdown to 59635
[17:25:10.797] [SEVERE ] updating countdown to 59633
[17:25:10.798] [SEVERE ] updating countdown to 59632
[17:25:10.799] [SEVERE ] updating countdown to 59631
[17:25:10.801] [SEVERE ] updating countdown to 59629
[17:25:10.803] [SEVERE ] updating countdown to 59628
[17:25:10.804] [SEVERE ] updating countdown to 59626
[17:25:10.806] [SEVERE ] updating countdown to 59624
[17:25:10.808] [SEVERE ] updating countdown to 59622
[17:25:10.809] [SEVERE ] updating countdown to 59621
[17:25:10.811] [SEVERE ] updating countdown to 59619
[17:25:10.812] [SEVERE ] updating countdown to 59618
[17:25:10.813] [SEVERE ] updating countdown to 59617
[17:25:10.815] [SEVERE ] updating countdown to 59615
[17:25:10.816] [SEVERE ] updating countdown to 59614
[17:25:10.818] [SEVERE ] updating countdown to 59612
[17:25:10.820] [SEVERE ] updating countdown to 59610
[17:25:10.822] [SEVERE ] updating countdown to 59608
[17:25:10.824] [SEVERE ] updating countdown to 59606
[17:25:10.825] [SEVERE ] updating countdown to 59605
[17:25:10.827] [SEVERE ] updating countdown to 59603
[17:25:10.828] [SEVERE ] updating countdown to 59602
[17:25:10.830] [SEVERE ] updating countdown to 59600
[17:25:10.831] [SEVERE ] updating countdown to 59599
[17:25:10.833] [SEVERE ] updating countdown to 59597
[17:25:10.835] [SEVERE ] updating countdown to 59595
[17:25:10.837] [SEVERE ] updating countdown to 59593
[17:25:10.839] [SEVERE ] updating countdown to 59591
[17:25:10.840] [SEVERE ] updating countdown to 59590
[17:25:10.842] [SEVERE ] updating countdown to 59588
[17:25:10.843] [SEVERE ] updating countdown to 59587
[17:25:10.845] [SEVERE ] updating countdown to 59585
[17:25:10.846] [SEVERE ] updating countdown to 59584
[17:25:10.847] [SEVERE ] updating countdown to 59583
[17:25:10.849] [SEVERE ] updating countdown to 59581
[17:25:10.850] [SEVERE ] updating countdown to 59580
[17:25:10.852] [SEVERE ] updating countdown to 59578
[17:25:10.854] [SEVERE ] updating countdown to 59576
