[12:41:37.474] [INFO   ] thread bguspl.set.Main.main() starting.
[12:41:37.485] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:41:37.493] [SEVERE ] configuration file was loaded from resources directory.
[12:41:38.678] [INFO   ] thread dealer starting.
[12:41:38.680] [INFO   ] thread dealer starting.
[12:41:38.694] [INFO   ] thread 0  starting.
[12:41:38.694] [INFO   ] thread 1  starting.
[12:41:38.698] [SEVERE ] updating countdown to 59999
[12:41:38.701] [SEVERE ] updating countdown to 59996
[12:41:38.703] [SEVERE ] updating countdown to 59994
[12:41:38.704] [SEVERE ] updating countdown to 59993
[12:41:38.706] [SEVERE ] updating countdown to 59991
[12:41:38.708] [SEVERE ] updating countdown to 59989
[12:41:38.711] [SEVERE ] updating countdown to 59986
[12:41:38.713] [SEVERE ] updating countdown to 59984
[12:41:38.716] [SEVERE ] updating countdown to 59981
[12:41:38.718] [SEVERE ] updating countdown to 59979
[12:41:38.720] [SEVERE ] updating countdown to 59977
[12:41:38.722] [SEVERE ] updating countdown to 59975
[12:41:38.723] [SEVERE ] updating countdown to 59974
[12:41:38.725] [SEVERE ] updating countdown to 59972
[12:41:38.727] [SEVERE ] updating countdown to 59970
[12:41:38.729] [SEVERE ] updating countdown to 59968
[12:41:38.731] [SEVERE ] updating countdown to 59966
[12:41:38.733] [SEVERE ] updating countdown to 59964
[12:41:38.735] [SEVERE ] updating countdown to 59962
[12:41:38.736] [SEVERE ] updating countdown to 59961
[12:41:38.738] [SEVERE ] updating countdown to 59959
[12:41:38.740] [SEVERE ] updating countdown to 59957
[12:41:38.741] [SEVERE ] updating countdown to 59956
[12:41:38.743] [SEVERE ] updating countdown to 59954
[12:41:38.745] [SEVERE ] updating countdown to 59952
[12:41:38.747] [SEVERE ] updating countdown to 59950
[12:41:38.749] [SEVERE ] updating countdown to 59948
[12:41:38.751] [SEVERE ] updating countdown to 59946
[12:41:38.752] [SEVERE ] updating countdown to 59945
[12:41:38.754] [SEVERE ] updating countdown to 59943
[12:41:38.756] [SEVERE ] updating countdown to 59941
[12:41:38.757] [SEVERE ] updating countdown to 59940
[12:41:38.759] [SEVERE ] updating countdown to 59938
[12:41:38.761] [SEVERE ] updating countdown to 59936
[12:41:38.764] [SEVERE ] updating countdown to 59933
[12:41:38.765] [SEVERE ] updating countdown to 59932
[12:41:38.767] [SEVERE ] updating countdown to 59930
[12:41:38.769] [SEVERE ] updating countdown to 59928
[12:41:38.771] [SEVERE ] updating countdown to 59926
[12:41:38.772] [SEVERE ] updating countdown to 59925
[12:41:38.774] [SEVERE ] updating countdown to 59923
[12:41:38.776] [SEVERE ] updating countdown to 59921
[12:41:38.778] [SEVERE ] updating countdown to 59919
[12:41:38.780] [SEVERE ] updating countdown to 59917
[12:41:38.782] [SEVERE ] updating countdown to 59915
[12:41:38.784] [SEVERE ] updating countdown to 59913
[12:41:38.785] [SEVERE ] updating countdown to 59912
[12:41:38.787] [SEVERE ] updating countdown to 59910
[12:41:38.789] [SEVERE ] updating countdown to 59908
[12:41:38.790] [SEVERE ] updating countdown to 59907
[12:41:38.792] [SEVERE ] updating countdown to 59905
[12:41:38.795] [SEVERE ] updating countdown to 59902
[12:41:38.796] [SEVERE ] updating countdown to 59901
[12:41:38.798] [SEVERE ] updating countdown to 59899
[12:41:38.800] [SEVERE ] updating countdown to 59897
[12:41:38.802] [SEVERE ] updating countdown to 59895
[12:41:38.804] [SEVERE ] updating countdown to 59893
[12:41:38.806] [SEVERE ] updating countdown to 59891
