[17:01:42.803] [INFO   ] thread bguspl.set.Main.main() starting.
[17:01:42.818] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:01:42.837] [SEVERE ] configuration file was loaded from resources directory.
[17:01:44.013] [INFO   ] thread dealer starting.
[17:01:44.016] [INFO   ] thread dealer starting.
[17:01:44.019] [INFO   ] thread 0  starting.
[17:01:44.019] [INFO   ] thread 1  starting.
[17:01:44.031] [SEVERE ] updating countdown to 59999
[17:01:44.035] [SEVERE ] updating countdown to 59995
[17:01:44.037] [SEVERE ] updating countdown to 59993
[17:01:44.040] [SEVERE ] updating countdown to 59990
[17:01:44.043] [SEVERE ] updating countdown to 59987
[17:01:44.045] [SEVERE ] updating countdown to 59985
[17:01:44.047] [SEVERE ] updating countdown to 59983
[17:01:44.049] [SEVERE ] updating countdown to 59981
[17:01:44.051] [SEVERE ] updating countdown to 59979
[17:01:44.052] [SEVERE ] updating countdown to 59978
[17:01:44.054] [SEVERE ] updating countdown to 59976
[17:01:44.056] [SEVERE ] updating countdown to 59974
[17:01:44.057] [SEVERE ] updating countdown to 59973
[17:01:44.059] [SEVERE ] updating countdown to 59971
[17:01:44.062] [SEVERE ] updating countdown to 59968
[17:01:44.064] [SEVERE ] updating countdown to 59966
[17:01:44.065] [SEVERE ] updating countdown to 59965
[17:01:44.067] [SEVERE ] updating countdown to 59963
[17:01:44.069] [SEVERE ] updating countdown to 59961
[17:01:44.070] [SEVERE ] updating countdown to 59960
[17:01:44.072] [SEVERE ] updating countdown to 59958
[17:01:44.073] [SEVERE ] updating countdown to 59957
[17:01:44.075] [SEVERE ] updating countdown to 59955
[17:01:44.077] [SEVERE ] updating countdown to 59953
[17:01:44.079] [SEVERE ] updating countdown to 59951
[17:01:44.081] [SEVERE ] updating countdown to 59949
[17:01:44.082] [SEVERE ] updating countdown to 59948
[17:01:44.084] [SEVERE ] updating countdown to 59946
[17:01:44.086] [SEVERE ] updating countdown to 59944
[17:01:44.087] [SEVERE ] updating countdown to 59943
[17:01:44.089] [SEVERE ] updating countdown to 59941
[17:01:44.091] [SEVERE ] updating countdown to 59939
[17:01:44.093] [SEVERE ] updating countdown to 59937
[17:01:44.094] [SEVERE ] updating countdown to 59936
[17:01:44.096] [SEVERE ] updating countdown to 59934
[17:01:44.098] [SEVERE ] updating countdown to 59932
[17:01:44.100] [SEVERE ] updating countdown to 59930
[17:01:44.101] [SEVERE ] updating countdown to 59929
[17:01:44.103] [SEVERE ] updating countdown to 59927
[17:01:44.105] [SEVERE ] updating countdown to 59925
[17:01:44.106] [SEVERE ] updating countdown to 59924
[17:01:44.108] [SEVERE ] updating countdown to 59922
[17:01:44.110] [SEVERE ] updating countdown to 59920
[17:01:44.112] [SEVERE ] updating countdown to 59918
[17:01:44.113] [SEVERE ] updating countdown to 59917
[17:01:44.115] [SEVERE ] updating countdown to 59915
[17:01:44.117] [SEVERE ] updating countdown to 59913
[17:01:44.118] [SEVERE ] updating countdown to 59912
[17:01:44.120] [SEVERE ] updating countdown to 59910
[17:01:44.121] [SEVERE ] updating countdown to 59909
[17:01:44.123] [SEVERE ] updating countdown to 59907
[17:01:44.125] [SEVERE ] updating countdown to 59905
[17:01:44.126] [SEVERE ] updating countdown to 59904
[17:01:44.128] [SEVERE ] updating countdown to 59902
[17:01:44.129] [SEVERE ] updating countdown to 59901
[17:01:44.131] [SEVERE ] updating countdown to 59899
[17:01:44.132] [SEVERE ] updating countdown to 59898
[17:01:44.134] [SEVERE ] updating countdown to 59896
[17:01:44.135] [SEVERE ] updating countdown to 59895
[17:01:44.137] [SEVERE ] updating countdown to 59893
[17:01:44.139] [SEVERE ] updating countdown to 59891
[17:01:44.140] [SEVERE ] updating countdown to 59890
[17:01:44.142] [SEVERE ] updating countdown to 59888
[17:01:44.143] [SEVERE ] updating countdown to 59887
[17:01:44.145] [SEVERE ] updating countdown to 59885
[17:01:44.146] [SEVERE ] updating countdown to 59884
[17:01:44.148] [SEVERE ] updating countdown to 59882
[17:01:44.149] [SEVERE ] updating countdown to 59881
[17:01:44.151] [SEVERE ] updating countdown to 59879
[17:01:44.152] [SEVERE ] updating countdown to 59878
[17:01:44.154] [SEVERE ] updating countdown to 59876
[17:01:44.155] [SEVERE ] updating countdown to 59875
[17:01:44.157] [SEVERE ] updating countdown to 59873
[17:01:44.158] [SEVERE ] updating countdown to 59872
[17:01:44.160] [SEVERE ] updating countdown to 59870
[17:01:44.161] [SEVERE ] updating countdown to 59869
[17:01:44.163] [SEVERE ] updating countdown to 59867
[17:01:44.165] [SEVERE ] updating countdown to 59865
[17:01:44.166] [SEVERE ] updating countdown to 59864
[17:01:44.168] [SEVERE ] updating countdown to 59862
[17:01:44.169] [SEVERE ] updating countdown to 59861
[17:01:44.171] [SEVERE ] updating countdown to 59859
[17:01:44.172] [SEVERE ] updating countdown to 59858
[17:01:44.174] [SEVERE ] updating countdown to 59856
[17:01:44.176] [SEVERE ] updating countdown to 59854
[17:01:44.177] [SEVERE ] updating countdown to 59853
[17:01:44.179] [SEVERE ] updating countdown to 59851
[17:01:44.180] [SEVERE ] updating countdown to 59850
[17:01:44.182] [SEVERE ] updating countdown to 59848
[17:01:44.183] [SEVERE ] updating countdown to 59847
[17:01:44.185] [SEVERE ] updating countdown to 59845
[17:01:44.186] [SEVERE ] updating countdown to 59844
[17:01:44.188] [SEVERE ] updating countdown to 59842
[17:01:44.190] [SEVERE ] updating countdown to 59840
[17:01:44.191] [SEVERE ] updating countdown to 59839
[17:01:44.193] [SEVERE ] updating countdown to 59837
[17:01:44.194] [SEVERE ] updating countdown to 59836
[17:01:44.196] [SEVERE ] updating countdown to 59834
[17:01:44.197] [SEVERE ] updating countdown to 59833
[17:01:44.199] [SEVERE ] updating countdown to 59831
[17:01:44.200] [SEVERE ] updating countdown to 59830
[17:01:44.202] [SEVERE ] updating countdown to 59828
[17:01:44.203] [SEVERE ] updating countdown to 59827
[17:01:44.205] [SEVERE ] updating countdown to 59825
[17:01:44.206] [SEVERE ] updating countdown to 59824
[17:01:44.208] [SEVERE ] updating countdown to 59822
[17:01:44.209] [SEVERE ] updating countdown to 59821
[17:01:44.211] [SEVERE ] updating countdown to 59819
[17:01:44.212] [SEVERE ] updating countdown to 59818
[17:01:44.214] [SEVERE ] updating countdown to 59816
[17:01:44.215] [SEVERE ] updating countdown to 59815
[17:01:44.217] [SEVERE ] updating countdown to 59813
[17:01:44.218] [SEVERE ] updating countdown to 59812
[17:01:44.220] [SEVERE ] updating countdown to 59810
[17:01:44.221] [SEVERE ] updating countdown to 59809
[17:01:44.223] [SEVERE ] updating countdown to 59807
[17:01:44.224] [SEVERE ] updating countdown to 59806
[17:01:44.226] [SEVERE ] updating countdown to 59804
[17:01:44.227] [SEVERE ] updating countdown to 59803
[17:01:44.229] [SEVERE ] updating countdown to 59801
[17:01:44.230] [SEVERE ] updating countdown to 59800
[17:01:44.232] [SEVERE ] updating countdown to 59798
[17:01:44.233] [SEVERE ] updating countdown to 59797
[17:01:44.235] [SEVERE ] updating countdown to 59795
[17:01:44.236] [SEVERE ] updating countdown to 59794
[17:01:44.238] [SEVERE ] updating countdown to 59792
[17:01:44.239] [SEVERE ] updating countdown to 59791
[17:01:44.241] [SEVERE ] updating countdown to 59789
[17:01:44.242] [SEVERE ] updating countdown to 59788
[17:01:44.243] [SEVERE ] updating countdown to 59787
[17:01:44.245] [SEVERE ] updating countdown to 59785
[17:01:44.247] [SEVERE ] updating countdown to 59783
[17:01:44.248] [SEVERE ] updating countdown to 59782
[17:01:44.249] [SEVERE ] updating countdown to 59781
[17:01:44.251] [SEVERE ] updating countdown to 59779
[17:01:44.252] [SEVERE ] updating countdown to 59778
[17:01:44.254] [SEVERE ] updating countdown to 59776
[17:01:44.255] [SEVERE ] updating countdown to 59775
[17:01:44.256] [SEVERE ] updating countdown to 59774
[17:01:44.258] [SEVERE ] updating countdown to 59772
[17:01:44.259] [SEVERE ] updating countdown to 59771
[17:01:44.261] [SEVERE ] updating countdown to 59769
[17:01:44.262] [SEVERE ] updating countdown to 59768
[17:01:44.264] [SEVERE ] updating countdown to 59766
[17:01:44.265] [SEVERE ] updating countdown to 59765
[17:01:44.267] [SEVERE ] updating countdown to 59763
[17:01:44.269] [SEVERE ] updating countdown to 59761
[17:01:44.270] [SEVERE ] updating countdown to 59760
[17:01:44.272] [SEVERE ] updating countdown to 59758
[17:01:44.273] [SEVERE ] updating countdown to 59757
[17:01:44.275] [SEVERE ] updating countdown to 59755
[17:01:44.276] [SEVERE ] updating countdown to 59754
[17:01:44.278] [SEVERE ] updating countdown to 59752
[17:01:44.279] [SEVERE ] updating countdown to 59751
[17:01:44.280] [SEVERE ] updating countdown to 59750
[17:01:44.282] [SEVERE ] updating countdown to 59748
[17:01:44.283] [SEVERE ] updating countdown to 59747
[17:01:44.284] [SEVERE ] updating countdown to 59746
[17:01:44.286] [SEVERE ] updating countdown to 59744
[17:01:44.287] [SEVERE ] updating countdown to 59743
[17:01:44.288] [SEVERE ] updating countdown to 59742
[17:01:44.290] [SEVERE ] updating countdown to 59740
[17:01:44.291] [SEVERE ] updating countdown to 59739
[17:01:44.293] [SEVERE ] updating countdown to 59737
[17:01:44.294] [SEVERE ] updating countdown to 59736
[17:01:44.295] [SEVERE ] updating countdown to 59735
[17:01:44.297] [SEVERE ] updating countdown to 59733
[17:01:44.298] [SEVERE ] updating countdown to 59732
[17:01:44.300] [SEVERE ] updating countdown to 59730
[17:01:44.301] [SEVERE ] updating countdown to 59729
[17:01:44.303] [SEVERE ] updating countdown to 59727
[17:01:44.304] [SEVERE ] updating countdown to 59726
