[09:03:36.969] [INFO   ] thread bguspl.set.Main.main() starting.
[09:03:36.982] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:03:36.989] [SEVERE ] configuration file was loaded from resources directory.
[09:03:38.493] [SEVERE ] updating countdown to 9223370329298957314
[09:03:38.495] [SEVERE ] updating countdown to 9223370329298957312
[09:03:38.497] [SEVERE ] updating countdown to 9223370329298957310
[09:03:38.499] [SEVERE ] updating countdown to 9223370329298957308
[09:03:38.500] [SEVERE ] updating countdown to 9223370329298957307
[09:03:38.502] [SEVERE ] updating countdown to 9223370329298957305
[09:03:38.504] [SEVERE ] updating countdown to 9223370329298957303
[09:03:38.506] [SEVERE ] updating countdown to 9223370329298957301
[09:03:38.508] [SEVERE ] updating countdown to 9223370329298957299
[09:03:38.510] [SEVERE ] updating countdown to 9223370329298957297
[09:03:38.511] [SEVERE ] updating countdown to 9223370329298957296
[09:03:38.513] [SEVERE ] updating countdown to 9223370329298957294
[09:03:38.515] [SEVERE ] updating countdown to 9223370329298957292
[09:03:38.516] [SEVERE ] updating countdown to 9223370329298957291
[09:03:38.518] [SEVERE ] updating countdown to 9223370329298957289
[09:03:38.522] [SEVERE ] updating countdown to 9223370329298957285
[09:03:38.524] [SEVERE ] updating countdown to 9223370329298957283
[09:03:38.525] [SEVERE ] updating countdown to 9223370329298957282
[09:03:38.527] [SEVERE ] updating countdown to 9223370329298957280
[09:03:38.529] [SEVERE ] updating countdown to 9223370329298957278
[09:03:38.531] [SEVERE ] updating countdown to 9223370329298957276
[09:03:38.532] [SEVERE ] updating countdown to 9223370329298957275
[09:03:38.534] [SEVERE ] updating countdown to 9223370329298957273
[09:03:38.536] [SEVERE ] updating countdown to 9223370329298957271
[09:03:38.538] [SEVERE ] updating countdown to 9223370329298957269
[09:03:38.540] [SEVERE ] updating countdown to 9223370329298957267
[09:03:38.542] [SEVERE ] updating countdown to 9223370329298957265
[09:03:38.544] [SEVERE ] updating countdown to 9223370329298957263
[09:03:38.545] [SEVERE ] updating countdown to 9223370329298957262
[09:03:38.547] [SEVERE ] updating countdown to 9223370329298957260
[09:03:38.549] [SEVERE ] updating countdown to 9223370329298957258
[09:03:38.551] [SEVERE ] updating countdown to 9223370329298957256
[09:03:38.553] [SEVERE ] updating countdown to 9223370329298957254
[09:03:38.555] [SEVERE ] updating countdown to 9223370329298957252
[09:03:38.557] [SEVERE ] updating countdown to 9223370329298957250
[09:03:38.559] [SEVERE ] updating countdown to 9223370329298957248
[09:03:38.561] [SEVERE ] updating countdown to 9223370329298957246
[09:03:38.564] [SEVERE ] updating countdown to 9223370329298957243
[09:03:38.565] [SEVERE ] updating countdown to 9223370329298957242
[09:03:38.568] [SEVERE ] updating countdown to 9223370329298957239
[09:03:38.570] [SEVERE ] updating countdown to 9223370329298957237
[09:03:38.573] [SEVERE ] updating countdown to 9223370329298957234
[09:03:38.575] [SEVERE ] updating countdown to 9223370329298957232
[09:03:38.577] [SEVERE ] updating countdown to 9223370329298957230
[09:03:38.579] [SEVERE ] updating countdown to 9223370329298957228
[09:03:38.581] [SEVERE ] updating countdown to 9223370329298957226
[09:03:38.583] [SEVERE ] updating countdown to 9223370329298957224
[09:03:38.585] [SEVERE ] updating countdown to 9223370329298957222
[09:03:38.589] [SEVERE ] updating countdown to 9223370329298957218
[09:03:38.591] [SEVERE ] updating countdown to 9223370329298957216
[09:03:38.593] [SEVERE ] updating countdown to 9223370329298957214
[09:03:38.595] [SEVERE ] updating countdown to 9223370329298957212
[09:03:38.597] [SEVERE ] updating countdown to 9223370329298957210
[09:03:38.599] [SEVERE ] updating countdown to 9223370329298957208
[09:03:38.601] [SEVERE ] updating countdown to 9223370329298957206
[09:03:38.604] [SEVERE ] updating countdown to 9223370329298957203
[09:03:38.607] [SEVERE ] updating countdown to 9223370329298957200
[09:03:38.609] [SEVERE ] updating countdown to 9223370329298957198
[09:03:38.612] [SEVERE ] updating countdown to 9223370329298957195
[09:03:38.614] [SEVERE ] updating countdown to 9223370329298957193
[09:03:38.617] [SEVERE ] updating countdown to 9223370329298957190
[09:03:38.619] [SEVERE ] updating countdown to 9223370329298957188
[09:03:38.622] [SEVERE ] updating countdown to 9223370329298957185
[09:03:38.625] [SEVERE ] updating countdown to 9223370329298957182
[09:03:38.628] [SEVERE ] updating countdown to 9223370329298957179
[09:03:38.630] [SEVERE ] updating countdown to 9223370329298957177
[09:03:38.633] [SEVERE ] updating countdown to 9223370329298957174
[09:03:38.635] [SEVERE ] updating countdown to 9223370329298957172
[09:03:38.639] [SEVERE ] updating countdown to 9223370329298957168
[09:03:38.642] [SEVERE ] updating countdown to 9223370329298957165
[09:03:38.645] [SEVERE ] updating countdown to 9223370329298957162
[09:03:38.648] [SEVERE ] updating countdown to 9223370329298957159
[09:03:38.651] [SEVERE ] updating countdown to 9223370329298957156
[09:03:38.653] [SEVERE ] updating countdown to 9223370329298957154
[09:03:38.656] [SEVERE ] updating countdown to 9223370329298957151
[09:03:38.659] [SEVERE ] updating countdown to 9223370329298957148
[09:03:38.662] [SEVERE ] updating countdown to 9223370329298957145
[09:03:38.664] [SEVERE ] updating countdown to 9223370329298957143
[09:03:38.667] [SEVERE ] updating countdown to 9223370329298957140
[09:03:38.669] [SEVERE ] updating countdown to 9223370329298957138
[09:03:38.673] [SEVERE ] updating countdown to 9223370329298957134
[09:03:38.676] [SEVERE ] updating countdown to 9223370329298957131
[09:03:38.679] [SEVERE ] updating countdown to 9223370329298957128
[09:03:38.681] [SEVERE ] updating countdown to 9223370329298957126
[09:03:38.683] [SEVERE ] updating countdown to 9223370329298957124
[09:03:38.686] [SEVERE ] updating countdown to 9223370329298957121
[09:03:38.689] [SEVERE ] updating countdown to 9223370329298957118
[09:03:38.692] [SEVERE ] updating countdown to 9223370329298957115
[09:03:38.695] [SEVERE ] updating countdown to 9223370329298957112
[09:03:38.697] [SEVERE ] updating countdown to 9223370329298957110
[09:03:38.700] [SEVERE ] updating countdown to 9223370329298957107
[09:03:38.703] [SEVERE ] updating countdown to 9223370329298957104
[09:03:38.707] [SEVERE ] updating countdown to 9223370329298957100
[09:03:38.710] [SEVERE ] updating countdown to 9223370329298957097
[09:03:38.713] [SEVERE ] updating countdown to 9223370329298957094
