[12:38:01.734] [INFO   ] thread bguspl.set.Main.main() starting.
[12:38:01.747] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:38:01.755] [SEVERE ] configuration file was loaded from resources directory.
[12:38:03.264] [INFO   ] thread dealer starting.
[12:38:03.266] [INFO   ] thread dealer starting.
[12:38:03.267] [INFO   ] thread 0  starting.
[12:38:03.267] [INFO   ] thread 1  starting.
[12:38:03.274] [SEVERE ] updating countdown to 59999
[12:38:03.277] [SEVERE ] updating countdown to 59996
[12:38:03.280] [SEVERE ] updating countdown to 59993
[12:38:03.284] [SEVERE ] updating countdown to 59989
[12:38:03.297] [SEVERE ] updating countdown to 59976
[12:38:03.300] [SEVERE ] updating countdown to 59973
[12:38:03.302] [SEVERE ] updating countdown to 59971
[12:38:03.305] [SEVERE ] updating countdown to 59969
[12:38:03.308] [SEVERE ] updating countdown to 59965
[12:38:03.310] [SEVERE ] updating countdown to 59963
[12:38:03.314] [SEVERE ] updating countdown to 59959
[12:38:03.317] [SEVERE ] updating countdown to 59957
[12:38:03.320] [SEVERE ] updating countdown to 59953
[12:38:03.322] [SEVERE ] updating countdown to 59951
[12:38:03.324] [SEVERE ] updating countdown to 59949
[12:38:03.325] [SEVERE ] updating countdown to 59948
[12:38:03.328] [SEVERE ] updating countdown to 59945
[12:38:03.330] [SEVERE ] updating countdown to 59943
[12:38:03.333] [SEVERE ] updating countdown to 59940
[12:38:03.335] [SEVERE ] updating countdown to 59938
[12:38:03.338] [SEVERE ] updating countdown to 59935
[12:38:03.340] [SEVERE ] updating countdown to 59933
[12:38:03.341] [SEVERE ] updating countdown to 59932
[12:38:03.343] [SEVERE ] updating countdown to 59930
[12:38:03.345] [SEVERE ] updating countdown to 59928
[12:38:03.348] [SEVERE ] updating countdown to 59925
[12:38:03.350] [SEVERE ] updating countdown to 59923
[12:38:03.352] [SEVERE ] updating countdown to 59921
[12:38:03.354] [SEVERE ] updating countdown to 59919
[12:38:03.356] [SEVERE ] updating countdown to 59917
[12:38:03.358] [SEVERE ] updating countdown to 59915
