[13:33:00.291] [INFO   ] thread bguspl.set.Main.main() starting.
[13:33:00.305] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:33:00.314] [SEVERE ] configuration file was loaded from resources directory.
[13:33:01.717] [INFO   ] thread dealer starting.
[13:33:01.717] [INFO   ] thread dealer starting.
[13:33:01.718] [INFO   ] thread 0  starting.
[13:33:01.718] [INFO   ] thread 1  starting.
[13:33:01.726] [SEVERE ] updating countdown to 59999
[13:33:01.730] [SEVERE ] updating countdown to 60000
[13:33:01.733] [SEVERE ] updating countdown to 60000
[13:33:01.733] [SEVERE ] updating countdown to 60000
[13:33:01.735] [SEVERE ] updating countdown to 60000
[13:33:01.738] [SEVERE ] updating countdown to 60000
[13:33:01.740] [SEVERE ] updating countdown to 60000
[13:33:01.744] [SEVERE ] updating countdown to 60000
[13:33:01.746] [SEVERE ] updating countdown to 60000
[13:33:01.747] [SEVERE ] updating countdown to 60000
[13:33:01.747] [SEVERE ] updating countdown to 60000
[13:33:01.748] [SEVERE ] updating countdown to 60000
[13:33:01.749] [SEVERE ] updating countdown to 60000
[13:33:01.749] [SEVERE ] updating countdown to 60000
[13:33:01.751] [SEVERE ] updating countdown to 60000
[13:33:01.751] [SEVERE ] updating countdown to 60000
[13:33:01.752] [SEVERE ] updating countdown to 60000
[13:33:01.753] [SEVERE ] updating countdown to 60000
[13:33:01.754] [SEVERE ] updating countdown to 60000
[13:33:01.755] [SEVERE ] updating countdown to 60000
[13:33:01.757] [SEVERE ] updating countdown to 60000
[13:33:01.758] [SEVERE ] updating countdown to 60000
[13:33:01.760] [SEVERE ] updating countdown to 60000
[13:33:01.761] [SEVERE ] updating countdown to 60000
[13:33:01.762] [SEVERE ] updating countdown to 60000
[13:33:01.763] [SEVERE ] updating countdown to 60000
[13:33:01.764] [SEVERE ] updating countdown to 60000
[13:33:01.765] [SEVERE ] updating countdown to 60000
[13:33:01.766] [SEVERE ] updating countdown to 60000
[13:33:01.766] [SEVERE ] updating countdown to 60000
[13:33:01.768] [SEVERE ] updating countdown to 60000
[13:33:01.768] [SEVERE ] updating countdown to 60000
[13:33:01.769] [SEVERE ] updating countdown to 60000
[13:33:01.770] [SEVERE ] updating countdown to 60000
[13:33:01.771] [SEVERE ] updating countdown to 60000
[13:33:01.771] [SEVERE ] updating countdown to 60000
[13:33:01.772] [SEVERE ] updating countdown to 60000
[13:33:01.773] [SEVERE ] updating countdown to 60000
[13:33:01.774] [SEVERE ] updating countdown to 60000
[13:33:01.776] [SEVERE ] updating countdown to 60000
